nohup: ignoring input
Using device: cuda:1
Run checkpoints will be saved to: training_outputs/ckpts/20260713_012129
Concept branches | visual_concept_on=True | temporal_concepts_on=False | visual_concept_logit_scale=1.0
Train: 21351 windows (/data/quantization/zaima/dh1k/training) | Val: 3722 windows (/data/quantization/zaima/dh1k/testing) | window_len=16
Initialized saliency bias to logit(0.0177) = -4.0163 for: final_upsample_head.head, patch_logit_head
Backbone fine-tuning enabled | effective_batch_size=4 | micro_batch_size=4 | grad_accum_steps=1 | gradient_checkpointing=False | visual_equiv=off

Epoch 1/100

Train epoch 1:  13%|█▎        | 672/5338 [04:04<28:07,  2.76it/s, loss=-1.3773]
Train epoch 1:  13%|█▎        | 673/5338 [04:04<28:11,  2.76it/s, loss=-1.3773]
Train epoch 1:  13%|█▎        | 673/5338 [04:05<28:11,  2.76it/s, loss=-2.1274]
Train epoch 1:  13%|█▎        | 674/5338 [04:05<27:31,  2.82it/s, loss=-2.1274]
Train epoch 1:  13%|█▎        | 674/5338 [04:05<27:31,  2.82it/s, loss=-1.2320]
Train epoch 1:  13%|█▎        | 675/5338 [04:05<27:14,  2.85it/s, loss=-1.2320]
Train epoch 1:  13%|█▎        | 675/5338 [04:05<27:14,  2.85it/s, loss=-2.9676]
Train epoch 1:  13%|█▎        | 676/5338 [04:05<27:26,  2.83it/s, loss=-2.9676]
Train epoch 1:  13%|█▎        | 676/5338 [04:06<27:26,  2.83it/s, loss=-2.0505]
Train epoch 1:  13%|█▎        | 677/5338 [04:06<27:32,  2.82it/s, loss=-2.0505]
Train epoch 1:  13%|█▎        | 677/5338 [04:06<27:32,  2.82it/s, loss=-1.8994]
Train epoch 1:  13%|█▎        | 678/5338 [04:06<27:32,  2.82it/s, loss=-1.8994]
Train epoch 1:  13%|█▎        | 678/5338 [04:06<27:32,  2.82it/s, loss=-1.1257]
Train epoch 1:  13%|█▎        | 679/5338 [04:06<27:25,  2.83it/s, loss=-1.1257]
Train epoch 1:  13%|█▎        | 679/5338 [04:07<27:25,  2.83it/s, loss=-3.0835]
Train epoch 1:  13%|█▎        | 680/5338 [04:07<27:32,  2.82it/s, loss=-3.0835]
Train epoch 1:  13%|█▎        | 680/5338 [04:07<27:32,  2.82it/s, loss=-1.2560]
Train epoch 1:  13%|█▎        | 681/5338 [04:07<27:37,  2.81it/s, loss=-1.2560]
Train epoch 1:  13%|█▎        | 681/5338 [04:07<27:37,  2.81it/s, loss=-0.4816]
Train epoch 1:  13%|█▎        | 682/5338 [04:07<27:35,  2.81it/s, loss=-0.4816]
Train epoch 1:  13%|█▎        | 682/5338 [04:08<27:35,  2.81it/s, loss=-1.7067]
Train epoch 1:  13%|█▎        | 683/5338 [04:08<26:58,  2.88it/s, loss=-1.7067]
Train epoch 1:  13%|█▎        | 683/5338 [04:08<26:58,  2.88it/s, loss=-2.4700]
Train epoch 1:  13%|█▎        | 684/5338 [04:08<26:24,  2.94it/s, loss=-2.4700]
Train epoch 1:  13%|█▎        | 684/5338 [04:08<26:24,  2.94it/s, loss=-2.0952]
Train epoch 1:  13%|█▎        | 685/5338 [04:08<27:04,  2.86it/s, loss=-2.0952]
Train epoch 1:  13%|█▎        | 685/5338 [04:09<27:04,  2.86it/s, loss=-1.4453]
Train epoch 1:  13%|█▎        | 686/5338 [04:09<26:31,  2.92it/s, loss=-1.4453]
Train epoch 1:  13%|█▎        | 686/5338 [04:09<26:31,  2.92it/s, loss=-1.4065]
Train epoch 1:  13%|█▎        | 687/5338 [04:09<26:56,  2.88it/s, loss=-1.4065]
Train epoch 1:  13%|█▎        | 687/5338 [04:09<26:56,  2.88it/s, loss=-2.6631]
Train epoch 1:  13%|█▎        | 688/5338 [04:09<27:12,  2.85it/s, loss=-2.6631]
Train epoch 1:  13%|█▎        | 688/5338 [04:10<27:12,  2.85it/s, loss=-1.1487]
Train epoch 1:  13%|█▎        | 689/5338 [04:10<27:25,  2.83it/s, loss=-1.1487]
Train epoch 1:  13%|█▎        | 689/5338 [04:10<27:25,  2.83it/s, loss=-1.8347]
Train epoch 1:  13%|█▎        | 690/5338 [04:10<27:23,  2.83it/s, loss=-1.8347]
Train epoch 1:  13%|█▎        | 690/5338 [04:11<27:23,  2.83it/s, loss=-1.8486]
Train epoch 1:  13%|█▎        | 691/5338 [04:11<27:02,  2.86it/s, loss=-1.8486]
Train epoch 1:  13%|█▎        | 691/5338 [04:11<27:02,  2.86it/s, loss=-1.3005]
Train epoch 1:  13%|█▎        | 692/5338 [04:11<27:09,  2.85it/s, loss=-1.3005]
Train epoch 1:  13%|█▎        | 692/5338 [04:11<27:09,  2.85it/s, loss=-3.3580]
Train epoch 1:  13%|█▎        | 693/5338 [04:11<27:24,  2.82it/s, loss=-3.3580]
Train epoch 1:  13%|█▎        | 693/5338 [04:12<27:24,  2.82it/s, loss=-1.7939]
Train epoch 1:  13%|█▎        | 694/5338 [04:12<27:30,  2.81it/s, loss=-1.7939]
Train epoch 1:  13%|█▎        | 694/5338 [04:12<27:30,  2.81it/s, loss=-1.6309]
Train epoch 1:  13%|█▎        | 695/5338 [04:12<27:34,  2.81it/s, loss=-1.6309]
Train epoch 1:  13%|█▎        | 695/5338 [04:12<27:34,  2.81it/s, loss=-1.6005]
Train epoch 1:  13%|█▎        | 696/5338 [04:12<27:31,  2.81it/s, loss=-1.6005]
Train epoch 1:  13%|█▎        | 696/5338 [04:13<27:31,  2.81it/s, loss=-2.8434]
Train epoch 1:  13%|█▎        | 697/5338 [04:13<27:41,  2.79it/s, loss=-2.8434]
Train epoch 1:  13%|█▎        | 697/5338 [04:13<27:41,  2.79it/s, loss=-1.4665]
Train epoch 1:  13%|█▎        | 698/5338 [04:13<27:53,  2.77it/s, loss=-1.4665]
Train epoch 1:  13%|█▎        | 698/5338 [04:13<27:53,  2.77it/s, loss=-1.5708]
Train epoch 1:  13%|█▎        | 699/5338 [04:13<27:53,  2.77it/s, loss=-1.5708]
Train epoch 1:  13%|█▎        | 699/5338 [04:14<27:53,  2.77it/s, loss=-2.6374]
Train epoch 1:  13%|█▎        | 700/5338 [04:14<27:41,  2.79it/s, loss=-2.6374]
Train epoch 1:  13%|█▎        | 700/5338 [04:14<27:41,  2.79it/s, loss=-1.4121]
Train epoch 1:  13%|█▎        | 701/5338 [04:14<27:08,  2.85it/s, loss=-1.4121]
Train epoch 1:  13%|█▎        | 701/5338 [04:14<27:08,  2.85it/s, loss=-1.9854]
Train epoch 1:  13%|█▎        | 702/5338 [04:14<27:15,  2.84it/s, loss=-1.9854]
Train epoch 1:  13%|█▎        | 702/5338 [04:15<27:15,  2.84it/s, loss=-1.5252]
Train epoch 1:  13%|█▎        | 703/5338 [04:15<27:35,  2.80it/s, loss=-1.5252]
Train epoch 1:  13%|█▎        | 703/5338 [04:15<27:35,  2.80it/s, loss=-2.5953]
Train epoch 1:  13%|█▎        | 704/5338 [04:15<27:40,  2.79it/s, loss=-2.5953]
Train epoch 1:  13%|█▎        | 704/5338 [04:15<27:40,  2.79it/s, loss=-1.2002]
Train epoch 1:  13%|█▎        | 705/5338 [04:15<27:05,  2.85it/s, loss=-1.2002]
Train epoch 1:  13%|█▎        | 705/5338 [04:16<27:05,  2.85it/s, loss=-1.9158]
Train epoch 1:  13%|█▎        | 706/5338 [04:16<27:25,  2.82it/s, loss=-1.9158]
Train epoch 1:  13%|█▎        | 706/5338 [04:16<27:25,  2.82it/s, loss=-2.5998]
Train epoch 1:  13%|█▎        | 707/5338 [04:16<27:33,  2.80it/s, loss=-2.5998]
Train epoch 1:  13%|█▎        | 707/5338 [04:17<27:33,  2.80it/s, loss=-1.3201]
Train epoch 1:  13%|█▎        | 708/5338 [04:17<27:39,  2.79it/s, loss=-1.3201]
Train epoch 1:  13%|█▎        | 708/5338 [04:17<27:39,  2.79it/s, loss=-2.1823]
Train epoch 1:  13%|█▎        | 709/5338 [04:17<27:30,  2.80it/s, loss=-2.1823]
Train epoch 1:  13%|█▎        | 709/5338 [04:17<27:30,  2.80it/s, loss=-1.1542]
Train epoch 1:  13%|█▎        | 710/5338 [04:17<27:24,  2.81it/s, loss=-1.1542]
Train epoch 1:  13%|█▎        | 710/5338 [04:18<27:24,  2.81it/s, loss=-0.7081]
Train epoch 1:  13%|█▎        | 711/5338 [04:18<26:56,  2.86it/s, loss=-0.7081]
Train epoch 1:  13%|█▎        | 711/5338 [04:18<26:56,  2.86it/s, loss=-2.4499]
Train epoch 1:  13%|█▎        | 712/5338 [04:18<27:15,  2.83it/s, loss=-2.4499]
Train epoch 1:  13%|█▎        | 712/5338 [04:18<27:15,  2.83it/s, loss=-1.0755]
Train epoch 1:  13%|█▎        | 713/5338 [04:18<27:11,  2.83it/s, loss=-1.0755]
Train epoch 1:  13%|█▎        | 713/5338 [04:19<27:11,  2.83it/s, loss=-1.2926]
Train epoch 1:  13%|█▎        | 714/5338 [04:19<26:53,  2.87it/s, loss=-1.2926]
Train epoch 1:  13%|█▎        | 714/5338 [04:19<26:53,  2.87it/s, loss=-2.3692]
Train epoch 1:  13%|█▎        | 715/5338 [04:19<26:32,  2.90it/s, loss=-2.3692]
Train epoch 1:  13%|█▎        | 715/5338 [04:19<26:32,  2.90it/s, loss=-3.2563]
Train epoch 1:  13%|█▎        | 716/5338 [04:19<26:51,  2.87it/s, loss=-3.2563]
Train epoch 1:  13%|█▎        | 716/5338 [04:20<26:51,  2.87it/s, loss=-0.9637]
Train epoch 1:  13%|█▎        | 717/5338 [04:20<26:24,  2.92it/s, loss=-0.9637]
Train epoch 1:  13%|█▎        | 717/5338 [04:20<26:24,  2.92it/s, loss=-2.5116]
Train epoch 1:  13%|█▎        | 718/5338 [04:20<26:31,  2.90it/s, loss=-2.5116]
Train epoch 1:  13%|█▎        | 718/5338 [04:20<26:31,  2.90it/s, loss=-1.9420]
Train epoch 1:  13%|█▎        | 719/5338 [04:20<26:35,  2.90it/s, loss=-1.9420]
Train epoch 1:  13%|█▎        | 719/5338 [04:21<26:35,  2.90it/s, loss=-1.1086]
Train epoch 1:  13%|█▎        | 720/5338 [04:21<26:24,  2.91it/s, loss=-1.1086]
Train epoch 1:  13%|█▎        | 720/5338 [04:21<26:24,  2.91it/s, loss=-2.0642]
Train epoch 1:  14%|█▎        | 721/5338 [04:21<26:25,  2.91it/s, loss=-2.0642]
Train epoch 1:  14%|█▎        | 721/5338 [04:21<26:25,  2.91it/s, loss=-1.4511]
Train epoch 1:  14%|█▎        | 722/5338 [04:21<25:55,  2.97it/s, loss=-1.4511]
Train epoch 1:  14%|█▎        | 722/5338 [04:22<25:55,  2.97it/s, loss=-1.5561]
Train epoch 1:  14%|█▎        | 723/5338 [04:22<25:35,  3.01it/s, loss=-1.5561]
Train epoch 1:  14%|█▎        | 723/5338 [04:22<25:35,  3.01it/s, loss=-0.8861]
Train epoch 1:  14%|█▎        | 724/5338 [04:22<26:25,  2.91it/s, loss=-0.8861]
Train epoch 1:  14%|█▎        | 724/5338 [04:22<26:25,  2.91it/s, loss=-2.0166]
Train epoch 1:  14%|█▎        | 725/5338 [04:22<26:27,  2.91it/s, loss=-2.0166]
Train epoch 1:  14%|█▎        | 725/5338 [04:23<26:27,  2.91it/s, loss=-2.0251]
Train epoch 1:  14%|█▎        | 726/5338 [04:23<26:49,  2.87it/s, loss=-2.0251]
Train epoch 1:  14%|█▎        | 726/5338 [04:23<26:49,  2.87it/s, loss=-1.1064]
Train epoch 1:  14%|█▎        | 727/5338 [04:23<27:02,  2.84it/s, loss=-1.1064]
Train epoch 1:  14%|█▎        | 727/5338 [04:23<27:02,  2.84it/s, loss=-2.7115]
Train epoch 1:  14%|█▎        | 728/5338 [04:23<26:53,  2.86it/s, loss=-2.7115]
Train epoch 1:  14%|█▎        | 728/5338 [04:24<26:53,  2.86it/s, loss=-2.5061]
Train epoch 1:  14%|█▎        | 729/5338 [04:24<26:52,  2.86it/s, loss=-2.5061]
Train epoch 1:  14%|█▎        | 729/5338 [04:24<26:52,  2.86it/s, loss=-1.3840]
Train epoch 1:  14%|█▎        | 730/5338 [04:24<26:47,  2.87it/s, loss=-1.3840]
Train epoch 1:  14%|█▎        | 730/5338 [04:25<26:47,  2.87it/s, loss=-2.0626]
Train epoch 1:  14%|█▎        | 731/5338 [04:25<26:14,  2.93it/s, loss=-2.0626]
Train epoch 1:  14%|█▎        | 731/5338 [04:25<26:14,  2.93it/s, loss=-3.0870]
Train epoch 1:  14%|█▎        | 732/5338 [04:25<25:42,  2.99it/s, loss=-3.0870]
Train epoch 1:  14%|█▎        | 732/5338 [04:25<25:42,  2.99it/s, loss=-2.2250]
Train epoch 1:  14%|█▎        | 733/5338 [04:25<25:40,  2.99it/s, loss=-2.2250]
Train epoch 1:  14%|█▎        | 733/5338 [04:26<25:40,  2.99it/s, loss=-2.6381]
Train epoch 1:  14%|█▍        | 734/5338 [04:26<26:19,  2.92it/s, loss=-2.6381]
Train epoch 1:  14%|█▍        | 734/5338 [04:26<26:19,  2.92it/s, loss=-2.4062]
Train epoch 1:  14%|█▍        | 735/5338 [04:26<25:53,  2.96it/s, loss=-2.4062]
Train epoch 1:  14%|█▍        | 735/5338 [04:26<25:53,  2.96it/s, loss=-0.6324]
Train epoch 1:  14%|█▍        | 736/5338 [04:26<26:29,  2.90it/s, loss=-0.6324]
Train epoch 1:  14%|█▍        | 736/5338 [04:27<26:29,  2.90it/s, loss=-1.6310]
Train epoch 1:  14%|█▍        | 737/5338 [04:27<26:55,  2.85it/s, loss=-1.6310]
Train epoch 1:  14%|█▍        | 737/5338 [04:27<26:55,  2.85it/s, loss=-2.3422]
Train epoch 1:  14%|█▍        | 738/5338 [04:27<27:02,  2.83it/s, loss=-2.3422]
Train epoch 1:  14%|█▍        | 738/5338 [04:27<27:02,  2.83it/s, loss=-2.3840]
Train epoch 1:  14%|█▍        | 739/5338 [04:27<26:23,  2.90it/s, loss=-2.3840]
Train epoch 1:  14%|█▍        | 739/5338 [04:28<26:23,  2.90it/s, loss=-1.5463]
Train epoch 1:  14%|█▍        | 740/5338 [04:28<26:50,  2.86it/s, loss=-1.5463]
Train epoch 1:  14%|█▍        | 740/5338 [04:28<26:50,  2.86it/s, loss=-3.5401]
Train epoch 1:  14%|█▍        | 741/5338 [04:28<26:59,  2.84it/s, loss=-3.5401]
Train epoch 1:  14%|█▍        | 741/5338 [04:28<26:59,  2.84it/s, loss=-2.3130]
Train epoch 1:  14%|█▍        | 742/5338 [04:28<27:11,  2.82it/s, loss=-2.3130]
Train epoch 1:  14%|█▍        | 742/5338 [04:29<27:11,  2.82it/s, loss=-3.0540]
Train epoch 1:  14%|█▍        | 743/5338 [04:29<27:03,  2.83it/s, loss=-3.0540]
Train epoch 1:  14%|█▍        | 743/5338 [04:29<27:03,  2.83it/s, loss=-1.6855]
Train epoch 1:  14%|█▍        | 744/5338 [04:29<27:17,  2.81it/s, loss=-1.6855]
Train epoch 1:  14%|█▍        | 744/5338 [04:29<27:17,  2.81it/s, loss=-1.1332]
Train epoch 1:  14%|█▍        | 745/5338 [04:29<26:57,  2.84it/s, loss=-1.1332]
Train epoch 1:  14%|█▍        | 745/5338 [04:30<26:57,  2.84it/s, loss=-0.8675]
Train epoch 1:  14%|█▍        | 746/5338 [04:30<26:26,  2.89it/s, loss=-0.8675]
Train epoch 1:  14%|█▍        | 746/5338 [04:30<26:26,  2.89it/s, loss=-1.9290]
Train epoch 1:  14%|█▍        | 747/5338 [04:30<26:51,  2.85it/s, loss=-1.9290]
Train epoch 1:  14%|█▍        | 747/5338 [04:30<26:51,  2.85it/s, loss=-2.8169]
Train epoch 1:  14%|█▍        | 748/5338 [04:30<26:55,  2.84it/s, loss=-2.8169]
Train epoch 1:  14%|█▍        | 748/5338 [04:31<26:55,  2.84it/s, loss=-1.6118]
Train epoch 1:  14%|█▍        | 749/5338 [04:31<27:11,  2.81it/s, loss=-1.6118]
Train epoch 1:  14%|█▍        | 749/5338 [04:31<27:11,  2.81it/s, loss=-2.5518]
Train epoch 1:  14%|█▍        | 750/5338 [04:31<26:37,  2.87it/s, loss=-2.5518]
Train epoch 1:  14%|█▍        | 750/5338 [04:31<26:37,  2.87it/s, loss=-0.8852]
Train epoch 1:  14%|█▍        | 751/5338 [04:31<26:05,  2.93it/s, loss=-0.8852]
Train epoch 1:  14%|█▍        | 751/5338 [04:32<26:05,  2.93it/s, loss=-2.7731]
Train epoch 1:  14%|█▍        | 752/5338 [04:32<25:49,  2.96it/s, loss=-2.7731]
Train epoch 1:  14%|█▍        | 752/5338 [04:32<25:49,  2.96it/s, loss=-1.8555]
Train epoch 1:  14%|█▍        | 753/5338 [04:32<26:26,  2.89it/s, loss=-1.8555]
Train epoch 1:  14%|█▍        | 753/5338 [04:33<26:26,  2.89it/s, loss=-2.9346]
Train epoch 1:  14%|█▍        | 754/5338 [04:33<26:53,  2.84it/s, loss=-2.9346]
Train epoch 1:  14%|█▍        | 754/5338 [04:33<26:53,  2.84it/s, loss=-1.3797]
Train epoch 1:  14%|█▍        | 755/5338 [04:33<27:11,  2.81it/s, loss=-1.3797]
Train epoch 1:  14%|█▍        | 755/5338 [04:33<27:11,  2.81it/s, loss=-2.7414]
Train epoch 1:  14%|█▍        | 756/5338 [04:33<26:37,  2.87it/s, loss=-2.7414]
Train epoch 1:  14%|█▍        | 756/5338 [04:34<26:37,  2.87it/s, loss=-2.6602]
Train epoch 1:  14%|█▍        | 757/5338 [04:34<26:39,  2.86it/s, loss=-2.6602]
Train epoch 1:  14%|█▍        | 757/5338 [04:34<26:39,  2.86it/s, loss=-2.9954]
Train epoch 1:  14%|█▍        | 758/5338 [04:34<26:56,  2.83it/s, loss=-2.9954]
Train epoch 1:  14%|█▍        | 758/5338 [04:34<26:56,  2.83it/s, loss=-1.3646]
Train epoch 1:  14%|█▍        | 759/5338 [04:34<27:12,  2.80it/s, loss=-1.3646]
Train epoch 1:  14%|█▍        | 759/5338 [04:35<27:12,  2.80it/s, loss=-1.8203]
Train epoch 1:  14%|█▍        | 760/5338 [04:35<26:46,  2.85it/s, loss=-1.8203]
Train epoch 1:  14%|█▍        | 760/5338 [04:35<26:46,  2.85it/s, loss=-2.3560]
Train epoch 1:  14%|█▍        | 761/5338 [04:35<26:20,  2.90it/s, loss=-2.3560]
Train epoch 1:  14%|█▍        | 761/5338 [04:35<26:20,  2.90it/s, loss=-2.0374]
Train epoch 1:  14%|█▍        | 762/5338 [04:35<26:49,  2.84it/s, loss=-2.0374]
Train epoch 1:  14%|█▍        | 762/5338 [04:36<26:49,  2.84it/s, loss=-1.8031]
Train epoch 1:  14%|█▍        | 763/5338 [04:36<26:57,  2.83it/s, loss=-1.8031]
Train epoch 1:  14%|█▍        | 763/5338 [04:36<26:57,  2.83it/s, loss=-2.2363]
Train epoch 1:  14%|█▍        | 764/5338 [04:36<26:38,  2.86it/s, loss=-2.2363]
Train epoch 1:  14%|█▍        | 764/5338 [04:36<26:38,  2.86it/s, loss=-1.8312]
Train epoch 1:  14%|█▍        | 765/5338 [04:36<26:23,  2.89it/s, loss=-1.8312]
Train epoch 1:  14%|█▍        | 765/5338 [04:37<26:23,  2.89it/s, loss=-2.1312]
Train epoch 1:  14%|█▍        | 766/5338 [04:37<26:46,  2.85it/s, loss=-2.1312]
Train epoch 1:  14%|█▍        | 766/5338 [04:37<26:46,  2.85it/s, loss=-2.4765]
Train epoch 1:  14%|█▍        | 767/5338 [04:37<26:38,  2.86it/s, loss=-2.4765]
Train epoch 1:  14%|█▍        | 767/5338 [04:37<26:38,  2.86it/s, loss=-1.1001]
Train epoch 1:  14%|█▍        | 768/5338 [04:37<26:40,  2.85it/s, loss=-1.1001]
Train epoch 1:  14%|█▍        | 768/5338 [04:38<26:40,  2.85it/s, loss=-1.1369]
Train epoch 1:  14%|█▍        | 769/5338 [04:38<26:41,  2.85it/s, loss=-1.1369]
Train epoch 1:  14%|█▍        | 769/5338 [04:38<26:41,  2.85it/s, loss=-1.2011]
Train epoch 1:  14%|█▍        | 770/5338 [04:38<26:41,  2.85it/s, loss=-1.2011]
Train epoch 1:  14%|█▍        | 770/5338 [04:39<26:41,  2.85it/s, loss=-1.1336]
Train epoch 1:  14%|█▍        | 771/5338 [04:39<27:00,  2.82it/s, loss=-1.1336]
Train epoch 1:  14%|█▍        | 771/5338 [04:39<27:00,  2.82it/s, loss=-1.3185]
Train epoch 1:  14%|█▍        | 772/5338 [04:39<27:04,  2.81it/s, loss=-1.3185]
Train epoch 1:  14%|█▍        | 772/5338 [04:39<27:04,  2.81it/s, loss=-0.4669]
Train epoch 1:  14%|█▍        | 773/5338 [04:39<27:19,  2.78it/s, loss=-0.4669]
Train epoch 1:  14%|█▍        | 773/5338 [04:40<27:19,  2.78it/s, loss=-2.0628]
Train epoch 1:  14%|█▍        | 774/5338 [04:40<27:04,  2.81it/s, loss=-2.0628]
Train epoch 1:  14%|█▍        | 774/5338 [04:40<27:04,  2.81it/s, loss=-0.4940]
Train epoch 1:  15%|█▍        | 775/5338 [04:40<27:00,  2.82it/s, loss=-0.4940]
Train epoch 1:  15%|█▍        | 775/5338 [04:40<27:00,  2.82it/s, loss=-2.3826]
Train epoch 1:  15%|█▍        | 776/5338 [04:40<27:13,  2.79it/s, loss=-2.3826]
Train epoch 1:  15%|█▍        | 776/5338 [04:41<27:13,  2.79it/s, loss=-1.3790]
Train epoch 1:  15%|█▍        | 777/5338 [04:41<26:40,  2.85it/s, loss=-1.3790]
Train epoch 1:  15%|█▍        | 777/5338 [04:41<26:40,  2.85it/s, loss=-2.5510]
Train epoch 1:  15%|█▍        | 778/5338 [04:41<26:18,  2.89it/s, loss=-2.5510]
Train epoch 1:  15%|█▍        | 778/5338 [04:41<26:18,  2.89it/s, loss=-1.2881]
Train epoch 1:  15%|█▍        | 779/5338 [04:41<26:36,  2.86it/s, loss=-1.2881]
Train epoch 1:  15%|█▍        | 779/5338 [04:42<26:36,  2.86it/s, loss=-1.2419]
Train epoch 1:  15%|█▍        | 780/5338 [04:42<26:54,  2.82it/s, loss=-1.2419]
Train epoch 1:  15%|█▍        | 780/5338 [04:42<26:54,  2.82it/s, loss=-1.9072]
Train epoch 1:  15%|█▍        | 781/5338 [04:42<27:07,  2.80it/s, loss=-1.9072]
Train epoch 1:  15%|█▍        | 781/5338 [04:42<27:07,  2.80it/s, loss=-2.4228]
Train epoch 1:  15%|█▍        | 782/5338 [04:42<26:41,  2.85it/s, loss=-2.4228]
Train epoch 1:  15%|█▍        | 782/5338 [04:43<26:41,  2.85it/s, loss=-1.2857]
Train epoch 1:  15%|█▍        | 783/5338 [04:43<26:54,  2.82it/s, loss=-1.2857]
Train epoch 1:  15%|█▍        | 783/5338 [04:43<26:54,  2.82it/s, loss=-1.7563]
Train epoch 1:  15%|█▍        | 784/5338 [04:43<26:48,  2.83it/s, loss=-1.7563]
Train epoch 1:  15%|█▍        | 784/5338 [04:43<26:48,  2.83it/s, loss=-2.3288]
Train epoch 1:  15%|█▍        | 785/5338 [04:43<26:52,  2.82it/s, loss=-2.3288]
Train epoch 1:  15%|█▍        | 785/5338 [04:44<26:52,  2.82it/s, loss=-1.9540]
Train epoch 1:  15%|█▍        | 786/5338 [04:44<26:22,  2.88it/s, loss=-1.9540]
Train epoch 1:  15%|█▍        | 786/5338 [04:44<26:22,  2.88it/s, loss=-1.9446]
Train epoch 1:  15%|█▍        | 787/5338 [04:44<26:58,  2.81it/s, loss=-1.9446]
Train epoch 1:  15%|█▍        | 787/5338 [04:45<26:58,  2.81it/s, loss=-2.1876]
Train epoch 1:  15%|█▍        | 788/5338 [04:45<26:55,  2.82it/s, loss=-2.1876]
Train epoch 1:  15%|█▍        | 788/5338 [04:45<26:55,  2.82it/s, loss=-1.7577]
Train epoch 1:  15%|█▍        | 789/5338 [04:45<27:26,  2.76it/s, loss=-1.7577]
Train epoch 1:  15%|█▍        | 789/5338 [04:45<27:26,  2.76it/s, loss=-1.1682]
Train epoch 1:  15%|█▍        | 790/5338 [04:45<27:40,  2.74it/s, loss=-1.1682]
Train epoch 1:  15%|█▍        | 790/5338 [04:46<27:40,  2.74it/s, loss=-1.7133]
Train epoch 1:  15%|█▍        | 791/5338 [04:46<27:46,  2.73it/s, loss=-1.7133]
Train epoch 1:  15%|█▍        | 791/5338 [04:46<27:46,  2.73it/s, loss=-2.1164]
Train epoch 1:  15%|█▍        | 792/5338 [04:46<27:55,  2.71it/s, loss=-2.1164]
Train epoch 1:  15%|█▍        | 792/5338 [04:46<27:55,  2.71it/s, loss=-1.5974]
Train epoch 1:  15%|█▍        | 793/5338 [04:46<28:14,  2.68it/s, loss=-1.5974]
Train epoch 1:  15%|█▍        | 793/5338 [04:47<28:14,  2.68it/s, loss=-0.4296]
Train epoch 1:  15%|█▍        | 794/5338 [04:47<28:27,  2.66it/s, loss=-0.4296]
Train epoch 1:  15%|█▍        | 794/5338 [04:47<28:27,  2.66it/s, loss=-2.2043]
Train epoch 1:  15%|█▍        | 795/5338 [04:47<27:57,  2.71it/s, loss=-2.2043]
Train epoch 1:  15%|█▍        | 795/5338 [04:47<27:57,  2.71it/s, loss=-1.3937]
Train epoch 1:  15%|█▍        | 796/5338 [04:47<27:20,  2.77it/s, loss=-1.3937]
Train epoch 1:  15%|█▍        | 796/5338 [04:48<27:20,  2.77it/s, loss=-0.5111]
Train epoch 1:  15%|█▍        | 797/5338 [04:48<27:00,  2.80it/s, loss=-0.5111]
Train epoch 1:  15%|█▍        | 797/5338 [04:48<27:00,  2.80it/s, loss=-2.1727]
Train epoch 1:  15%|█▍        | 798/5338 [04:48<26:42,  2.83it/s, loss=-2.1727]
Train epoch 1:  15%|█▍        | 798/5338 [04:48<26:42,  2.83it/s, loss=-1.7854]
Train epoch 1:  15%|█▍        | 799/5338 [04:48<25:57,  2.92it/s, loss=-1.7854]
Train epoch 1:  15%|█▍        | 799/5338 [04:49<25:57,  2.92it/s, loss=-1.7999]
Train epoch 1:  15%|█▍        | 800/5338 [04:49<25:48,  2.93it/s, loss=-1.7999]
Train epoch 1:  15%|█▍        | 800/5338 [04:49<25:48,  2.93it/s, loss=-1.8092]
Train epoch 1:  15%|█▌        | 801/5338 [04:49<26:10,  2.89it/s, loss=-1.8092]
Train epoch 1:  15%|█▌        | 801/5338 [04:50<26:10,  2.89it/s, loss=-1.8710]
Train epoch 1:  15%|█▌        | 802/5338 [04:50<26:09,  2.89it/s, loss=-1.8710]
Train epoch 1:  15%|█▌        | 802/5338 [04:50<26:09,  2.89it/s, loss=-2.8907]
Train epoch 1:  15%|█▌        | 803/5338 [04:50<25:45,  2.93it/s, loss=-2.8907]
Train epoch 1:  15%|█▌        | 803/5338 [04:50<25:45,  2.93it/s, loss=-2.1229]
Train epoch 1:  15%|█▌        | 804/5338 [04:50<25:17,  2.99it/s, loss=-2.1229]
Train epoch 1:  15%|█▌        | 804/5338 [04:50<25:17,  2.99it/s, loss=-2.3101]
Train epoch 1:  15%|█▌        | 805/5338 [04:50<24:57,  3.03it/s, loss=-2.3101]
Train epoch 1:  15%|█▌        | 805/5338 [04:51<24:57,  3.03it/s, loss=-2.9734]
Train epoch 1:  15%|█▌        | 806/5338 [04:51<25:19,  2.98it/s, loss=-2.9734]
Train epoch 1:  15%|█▌        | 806/5338 [04:51<25:19,  2.98it/s, loss=-1.5843]
Train epoch 1:  15%|█▌        | 807/5338 [04:51<25:24,  2.97it/s, loss=-1.5843]
Train epoch 1:  15%|█▌        | 807/5338 [04:52<25:24,  2.97it/s, loss=-3.1559]
Train epoch 1:  15%|█▌        | 808/5338 [04:52<25:07,  3.00it/s, loss=-3.1559]
Train epoch 1:  15%|█▌        | 808/5338 [04:52<25:07,  3.00it/s, loss=-3.2473]
Train epoch 1:  15%|█▌        | 809/5338 [04:52<24:54,  3.03it/s, loss=-3.2473]
